0	0
0.13	0
0.14	-0.01
0.15	-0.01
0.16	-0.03
0.17	-0.04
0.18	-0.05
0.19	-0.05
0.2	-0.05
0.21	-0.03
0.22	-0.02
0.23	-0.01
0.24	0.01
0.25	0.02
0.26	0.04
0.27	0.07
0.28	0.13
0.29	0.18
0.3	0.23
0.31	0.28
0.32	0.31
0.33	0.32
0.34	0.31
0.35	0.3
0.36	0.29
0.37	0.28
0.38	0.24
0.39	0.22
0.4	0.23
0.41	0.19
0.42	0.11
0.43	-0.01
0.44	-0.09
0.45	-0.11
0.46	-0.09
0.47	-0.13
0.48	-0.15
0.49	-0.18
0.5	-0.19
0.51	-0.11
0.52	-0.21
0.53	-0.37
0.54	-0.44
0.55	-0.46
0.56	-0.45
0.57	-0.44
0.58	-0.49
0.59	-0.47
0.6	-0.35
0.61	-0.36
0.62	-0.29
0.63	-0.28
0.64	-0.27
0.65	-0.03
0.66	-0.01
0.67	-0.06
0.68	0.18
0.69	0.39
0.7	0.41
0.71	0.51
0.72	0.67
0.73	0.76
0.74	0.74
0.75	0.57
0.76	0.44
0.77	0.36
0.78	0.25
0.79	0.04
0.8	-0.24
0.81	-0.38
0.82	-0.31
0.83	-0.22
0.84	-0.27
0.85	-0.34
0.86	-0.36
0.87	-0.21
0.88	-0.12
0.89	-0.17
0.9	-0.14
0.91	0.04
0.92	0.23
0.93	0.39
0.94	0.51
0.95	0.47
0.96	0.46
0.97	0.55
0.98	0.44
0.99	0.15
1	0.09
1.01	0.16
1.02	0.15
1.03	0.17
1.04	0.09
1.05	0.02
1.06	0.24
1.07	0.16
1.08	-0.22
1.09	-0.23
1.1	0.38
1.11	0.45
1.12	-0.44
1.13	-0.44
1.14	0.44
1.15	0.54
1.16	-0.69
1.17	-1.05
1.18	0.05
1.19	-0.3
1.2	-1.65
1.21	-0.99
1.22	-0.54
1.23	-1.22
1.24	-0.65
1.25	-0.65
1.26	-1.19
1.27	-0.84
1.28	-0.16
1.29	0.19
1.3	-0.25
1.31	-0.7
1.32	-0.21
1.33	-0.04
1.34	-0.09
1.35	0.5
1.36	0.62
1.37	0.38
1.38	0.2
1.39	0.02
1.4	-0.08
1.41	-0.48
1.42	-1.01
1.43	-1.08
1.44	-0.85
1.45	-0.79
1.46	-0.81
1.47	-0.58
1.48	-0.25
1.49	-0.04
1.5	0.06
1.51	0.14
1.52	0.36
1.53	0.62
1.54	0.78
1.55	0.94
1.56	1.03
1.57	1.09
1.58	1.25
1.59	1.22
1.6	0.9
1.61	0.62
1.62	0.46
1.63	0.34
1.64	0.22
1.65	0.19
1.66	0.34
1.67	0.35
1.68	0.04
1.69	-0.2
1.7	-0.21
1.71	-0.34
1.72	-0.43
1.73	-0.26
1.74	-0.29
1.75	-0.48
1.76	-0.56
1.77	-0.34
1.78	-0.34
1.79	-1.06
1.8	-0.89
1.81	-0.28
1.82	-0.75
1.83	-1.2
1.84	-0.65
1.85	-0.65
1.86	-1.2
1.87	-0.74
1.88	-0.5
1.89	-0.26
1.9	0.1
1.91	-0.1
1.92	0.15
1.93	0.85
1.94	0.99
1.95	1.24
1.96	1.7
1.97	1.14
1.98	1.24
1.99	1.44
2	0.74
2.01	0.28
2.02	-0.63
2.03	0.15
2.04	1.4
2.05	0.72
